,consumption_low,consumption_high,pH,v_1,U,sigma
0,0.5,1.0000000000000002,0.24999999999999994,0.5,-28.49999999999997,2.0
1,0.49563269682947914,1.0184401507784602,0.23683663009972974,0.49563269682947914,-28.49541031676111,2.163265306122449
2,0.4918808311256317,1.0360186048961773,0.22541597314508413,0.4918808311256317,-28.48334059906401,2.326530612244898
3,0.4886409841056613,1.0527215208568572,0.21545311496568587,0.4886409841056613,-28.465905554089918,2.489795918367347
4,0.4858290649665229,1.0685524914228197,0.20671655740704228,0.4858290649665229,-28.444734560314163,2.6530612244897958
5,0.4833764145271802,1.083528450976791,0.19901704483143642,0.4833764145271802,-28.421072275357787,2.816326530612245
6,0.4812267540515047,1.0976760855868535,0.19219899974027663,0.4812267540515047,-28.395861178984713,2.979591836734694
7,0.4793337758758253,1.1110288185608699,0.18613387399836073,0.4793337758758253,-28.369808314168356,3.142857142857143
8,0.4776592299970574,1.1236243691208379,0.18071493639821193,0.4776592299970574,-28.343438577541498,3.3061224489795915
9,0.47617139853671836,1.135502837568871,0.17585315474426885,0.47617139853671836,-28.317136815593532,3.4693877551020407
10,0.47484387574945025,1.1467052476558475,0.17147392239532622,0.47484387574945025,-28.29118078936964,3.63265306122449
11,0.4736545898186118,1.1572724704293946,0.16751444235046598,0.4736545898186118,-28.26576680588481,3.7959183673469385
12,0.4725850166392416,1.1672444558962982,0.1639216272562356,0.4725850166392416,-28.241029534649186,3.9591836734693877
13,0.47161954623516056,1.176659707472007,0.16065040620143595,0.47161954623516056,-28.21705725861305,4.122448979591836
14,0.47074497088143075,1.1855549429210273,0.15766235411478394,0.47074497088143075,-28.193903567370807,4.285714285714286
15,0.46995007039309455,1.1939648957200528,0.15492457797585404,0.46995007039309455,-28.171596294744962,4.448979591836734
16,0.4692252750945636,1.201922220035765,0.15240880820298608,0.4692252750945636,-28.15014433263863,4.612244897959183
17,0.46856239109637926,1.2094574709631987,0.15009065448745496,0.46856239109637926,-28.129542807097266,4.775510204081632
18,0.46795437559876785,1.2165991364795048,0.1479489942665203,0.46795437559876785,-28.109777007502434,4.938775510204081
19,0.46739515252153063,1.223373705544565,0.14596546804370533,0.46739515252153063,-28.090825352401673,5.1020408163265305
20,0.46687946067603786,1.2298057589007156,0.14412406147868073,0.46687946067603786,-28.07266162473209,5.26530612244898
21,0.4664027283118177,1.235918073554388,0.14241075800231354,0.4664027283118177,-28.055256647124846,5.428571428571429
22,0.4659609691152827,1.2417317342356935,0.14081324900211728,0.4659609691152827,-28.03857952887306,5.591836734693877
23,0.4655506955997165,1.2472662467503917,0.13932069117039156,0.4655506955997165,-28.02259859226456,5.755102040816326
24,0.46516884688073695,1.2525396502532966,0.1379235026432383,0.46516884688073695,-28.0072820459556,5.918367346938775
25,0.46481272806481844,1.2575686262497725,0.1366131910067929,0.46481272806481844,-27.992598473643216,6.081632653061225
26,0.46447995935014424,1.2623686021551308,0.13538220792448158,0.46447995935014424,-27.978517180376304,6.244897959183673
27,0.4641684330525034,1.2669538495480215,0.13422382561317686,0.4641684330525034,-27.965008429918104,6.408163265306122
28,0.4638762772369228,1.2713375759785308,0.13313203168715196,0.4638762772369228,-27.95204360198193,6.571428571428571
29,0.4636018248430841,1.2755320104644112,0.13210143930543614,0.4636018248430841,-27.93959528790087,6.73469387755102
30,0.46334358736607134,1.2795484826598447,0.13112721015384263,0.46334358736607134,-27.927637341936606,6.897959183673469
31,0.46310023238003784,1.2833974958739431,0.13020498824867413,0.46310023238003784,-27.916144898651964,7.061224489795918
32,0.46287056426178697,1.2870887943015947,0.1293308428444174,0.46287056426178697,-27.90509436616241,7.224489795918367
33,0.4626535076241307,1.2906314246950628,0.12850121907861117,0.4626535076241307,-27.894463401991242,7.387755102040816
34,0.46244809303020906,1.294033792904228,0.12771289517058756,0.46244809303020906,-27.88423087673296,7.551020408163265
35,0.4622534446423989,1.2973037156281146,0.1269629452085845,0.4622534446423989,-27.87437682950803,7.7142857142857135
36,0.4620687695139091,1.3004484677509047,0.12624870670846328,0.4620687695139091,-27.864882418186163,7.877551020408163
37,0.4618933482805356,1.303474825606297,0.12556775226189595,0.4618933482805356,-27.855729866637628,8.040816326530612
38,0.4617265270643874,1.3063891064449067,0.12491786471762108,0.4617265270643874,-27.846902410319736,8.204081632653061
39,0.4615677103014267,1.3091972049712517,0.12429701524031103,0.4615677103014267,-27.83838424356616,8.367346938775508
40,0.4614163547028493,1.311904625523803,0.12370334435520769,0.4614163547028493,-27.830160463251126,8.53061224489796
41,0.4612719636343721,1.3145165130979208,0.12313514474699558,0.4612719636343721,-27.822217019631264,8.693877551020407
42,0.4611340824063812,1.3170376804979167,0.12259084640393403,0.4611340824063812,-27.8145406647254,8.857142857142858
43,0.4610022940231819,1.3194726336966498,0.12206900330235039,0.4610022940231819,-27.807118904451382,9.020408163265305
44,0.460876215448076,1.3218255948761295,0.1215682816246614,0.460876215448076,-27.79993995291979,9.183673469387754
45,0.46075549429506873,1.3241005235675563,0.12108744926711273,0.46075549429506873,-27.79299268884717,9.346938775510203
46,0.4606398058818625,1.3263011360712995,0.12062536646987262,0.4606398058818625,-27.786266614566205,9.510204081632653
47,0.4605288506220243,1.328430923168367,0.12018097747062027,0.4605288506220243,-27.779751817300962,9.673469387755102
48,0.4604223516944117,1.3304931664297175,0.11975330302027822,0.4604223516944117,-27.773438932734734,9.83673469387755
49,0.4603200529646303,1.3324909531483187,0.11934143368131457,0.4603200529646303,-27.767319110940296,10.0
